Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families,Irish,EEA/UK,Non-EEA,Month,Year
North-West,67,48,19,14,36,16,1,22,26,15,5,6,9,3,15,,,,August,2018
South-East,317,212,105,65,165,79,8,112,188,4,13,36,43,29,71,,,,August,2018
South-West,430,242,188,72,249,100,9,257,202,0,0,98,132,64,247,,,,August,2018
West,258,149,109,38,145,71,4,142,113,0,3,68,106,30,154,,,,August,2018
Dublin,3940,2125,1815,578,2381,903,78,1787,2179,57,0,1326,1839,813,2869,,,,September,2018
Mid-East,221,131,90,25,140,53,3,152,65,4,0,45,58,32,106,,,,September,2018
Midlands,111,54,57,37,68,5,1,74,37,0,0,43,64,22,104,,,,September,2018
Mid-West,354,217,137,49,203,93,9,120,199,38,0,78,106,50,168,,,,September,2018
North-East,132,80,52,14,82,29,7,66,65,1,0,29,35,23,63,,,,September,2018
North-West,54,36,18,9,24,20,1,11,25,13,5,5,7,3,14,,,,September,2018
South-East,338,220,118,72,170,86,10,123,191,4,20,35,46,24,66,,,,September,2018
South-West,457,263,194,69,282,95,11,268,197,0,0,116,148,84,280,,,,September,2018
West,262,149,113,40,157,60,5,150,110,0,5,76,117,35,159,,,,September,2018
Dublin,4027,2191,1836,544,2454,950,79,1838,2180,64,0,1295,1810,780,2800,,,,October,2018
Mid-East,213,124,89,26,128,56,3,139,71,3,0,39,49,29,96,,,,October,2018
Midlands,102,51,51,24,60,15,3,65,37,0,0,37,52,22,81,,,,October,2018
Mid-West,369,231,138,52,208,101,8,123,200,46,0,73,97,49,156,,,,October,2018
North-East,133,83,50,13,81,32,7,56,74,3,0,23,31,15,59,,,,October,2018
North-West,57,36,21,10,27,19,1,17,25,12,3,10,15,5,19,,,,October,2018
South-East,347,225,122,70,175,92,10,125,198,4,20,37,45,29,74,,,,October,2018
South-West,460,262,198,68,279,103,10,272,198,0,0,118,152,84,273,,,,October,2018
West,291,164,127,46,168,69,8,164,122,0,5,77,117,37,167,,,,October,2018
Dublin,4129,2299,1830,552,2503,994,80,2002,2162,64,0,1296,1819,772,2816,,,,November,2018
Mid-East,223,131,92,30,135,55,3,110,110,3,0,44,57,31,104,,,,November,2018
Midlands,118,62,56,25,68,21,4,81,37,0,0,43,61,25,103,,,,November,2018
Mid-West,385,239,146,58,211,108,8,136,199,50,0,81,109,53,160,,,,November,2018
North-East,142,92,50,14,86,33,9,60,79,3,0,22,30,14,59,,,,November,2018
North-West,55,38,17,12,25,15,3,17,27,7,4,7,12,2,17,,,,November,2018
South-East,317,211,106,64,159,87,7,106,190,4,17,33,42,24,68,,,,November,2018
South-West,495,284,211,68,301,117,9,289,207,0,0,120,160,80,298,,,,November,2018
West,293,166,127,45,166,75,7,199,88,0,6,82,122,42,186,,,,November,2018
Dublin,4175,2349,1826,565,2523,1006,81,1993,2170,66,0,1252,1764,740,2686,,,,December,2018
Mid-East,232,134,98,32,139,58,3,113,116,3,0,38,48,28,95,,,,December,2018
Midlands,109,58,51,19,67,20,3,72,37,0,0,35,52,18,97,,,,December,2018
Mid-West,355,220,135,52,187,108,8,113,199,43,0,53,75,31,104,,,,December,2018
North-East,141,92,49,19,78,35,9,63,75,3,0,18,24,12,43,,,,December,2018
North-West,46,31,15,10,23,12,1,14,24,6,2,6,12,0,15,,,,December,2018
South-East,319,211,108,66,157,89,7,114,189,2,14,31,39,23,58,,,,December,2018
South-West,491,296,195,65,298,116,12,265,226,0,0,103,144,62,282,,,,December,2018
West,326,193,133,41,181,95,9,192,128,0,6,81,121,41,179,,,,December,2018
Dublin,4258,2428,1830,577,2586,1018,77,2043,2242,72,0,1221,1708,734,2706,,,,January,2019
Mid-East,254,149,105,32,160,59,3,125,126,3,0,40,53,27,105,,,,January,2019
Midlands,111,60,51,19,66,22,4,74,37,0,0,35,51,19,101,,,,January,2019
Mid-West,338,221,117,47,179,103,9,107,190,41,0,64,86,42,119,,,,January,2019
North-East,162,97,65,22,90,41,9,99,62,1,0,25,33,17,55,,,,January,2019
North-West,52,35,17,13,27,11,1,17,24,10,1,10,18,2,25,,,,January,2019
South-East,316,212,104,65,167,76,8,108,194,2,12,30,41,19,51,,,,January,2019
South-West,514,324,190,65,319,117,13,288,235,0,0,108,148,68,283,,,,January,2019
West,358,218,140,53,199,95,11,216,136,0,6,81,121,41,179,,,,January,2019
Dublin,4304,2452,1852,565,2617,1052,70,2052,2281,74,0,1288,1825,751,2806,,,,February,2019
Mid-East,280,169,111,35,173,68,4,177,93,3,7,43,61,25,121,,,,February,2019
Midlands,116,61,55,25,63,25,3,78,38,0,0,35,51,19,98,,,,February,2019
Mid-West,349,224,125,55,186,99,9,117,190,42,0,71,98,44,136,,,,February,2019
North-East,161,96,65,27,84,40,10,95,63,3,0,20,27,13,49,,,,February,2019
North-West,61,41,20,15,31,14,1,27,23,10,1,11,20,2,26,,,,February,2019
South-East,322,210,112,62,169,83,8,116,191,3,12,38,51,25,64,,,,February,2019
South-West,532,324,208,69,328,121,14,302,236,0,0,122,162,82,283,,,,February,2019
West,355,218,137,57,188,100,10,219,130,0,6,79,114,44,201,,,,February,2019
Dublin,4315,2465,1850,567,2627,1058,63,2073,2251,74,0,1297,1836,758,2806,,,,March,2019
Mid-East,283,173,110,27,176,75,5,171,105,3,4,50,73,27,130,,,,March,2019
Midlands,116,56,60,26,61,27,2,80,36,0,0,34,52,16,100,,,,March,2019
Mid-West,347,228,119,57,186,97,7,122,188,37,0,76,102,50,146,,,,March,2019
North-East,173,105,68,27,94,41,11,101,70,2,0,19,28,10,47,,,,March,2019
North-West,55,39,16,12,31,11,1,20,23,9,3,10,18,2,25,,,,March,2019
